sim_id,p_launch_time,p_latitude,p_longitude,p_altitude,p_balloon_mass,p_payload_mass,p_neck_lift,p_burst_diameter,p_time_step,p_iter_max,p_DataSet,p_parachute_cd,p_parachute_mass,p_parachute_diameter,burst_time_s,landing_time_s,burst_lat,burst_lon,burst_alt_m,land_lat,land_lon,land_alt_m,drift_m
10,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,15725.0,1767842912.0876746,39.29079655683842,-101.55300700554919,27726.44114576819,39.178438164176285,-101.13365254521776,581.5539525549395,330835.5563140034
11,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,0.0,0.0,40.44666865808406,-104.6375408945729,1500.0,40.44666865808406,-104.6375408945729,1500.0,62.39421030187697
12,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,10797.0,1767842914.9090564,39.76556704089184,-102.66451308453352,27624.10589010219,39.62099763464564,-102.21244184499575,1330.5725926277703,225980.33467019506
13,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,5919.0,1767842916.9969873,40.165977746979245,-103.63943467008816,27309.82104431252,39.99848591500959,-103.21718447508322,1498.0698458043264,130512.4651084948
14,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,15275.0,1767842921.768613,39.33314517133128,-101.65209347361989,27720.034019038092,39.210399525161066,-101.23594464773049,1181.111414399609,321359.0406804258
15,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,16533.0,1767842926.5930603,39.2235812370345,-101.35870024808182,27734.404817744682,39.11478032648425,-100.94220228071454,1499.2286831986664,348772.38306134386
16,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,9324.0,1767842929.2326531,39.896722757174736,-102.9860950991602,27566.63970253641,39.73515775944116,-102.55546127777208,1497.755786323572,194006.31475911158
17,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,8096.0,1767842931.242808,40.01289022727895,-103.22303646616962,27500.41737110952,39.84371096800219,-102.78268671110101,1473.6191570994447,171350.6698549823
18,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,8302.0,1767842933.3686488,39.99574754052852,-103.18531210175648,27514.725834377994,39.830348697264554,-102.7513092257512,1496.599083155634,174400.91947291634
19,2025-10-18 13:00,40.4463266834993,-104.63812547859709,1500,0.6,1.8,1.8808303940360263,6.0,1,28800,gfs,1,0.1,1.22,0.0,0.0,40.4463266834993,-104.63812547859709,1500.0,40.4463266834993,-104.63812547859709,1500.0,0.0
