sim_id,p_launch_time,p_latitude,p_longitude,p_altitude,p_balloon_mass,p_payload_mass,p_neck_lift,p_burst_diameter,p_time_step,p_iter_max,p_DataSet,p_parachute_cd,p_parachute_mass,p_parachute_diameter,burst_time_s,landing_time_s,burst_lat,burst_lon,burst_alt_m,land_lat,land_lon,land_alt_m,drift_m
10,2025-10-18 13:00,40.44574095156323,-104.63841422887121,1500,0.6,1.8232564705022005,1.917740172314192,6.0,0.5,57600,gfs,1,0.1,1.22,0.0,0.0,40.44574095156323,-104.63841422887121,1500.0,40.44574095156323,-104.63841422887121,1500.0,0.0
11,2025-10-18 13:00,40.4464285031737,-104.63809178701308,1500,0.6,1.813470157404441,2.005433925182789,6.0,0.5,57600,gfs,1,0.1,1.22,10758.5,1767919202.2109404,39.7682239349689,-102.67300106389493,27589.91780725918,39.638252304445004,-102.2581513831969,1499.0072427691316,221623.98115966812
12,2025-10-18 13:00,40.44554524096469,-104.63855804530516,1500,0.6,1.7737667808887654,2.168317535661605,6.0,0.5,57600,gfs,1,0.1,1.22,5146.0,1767919204.811074,40.20326827048045,-103.74791231159473,27200.55218860307,40.0577392712072,-103.36210832947776,1497.2504046513109,116592.50949507563
13,2025-10-18 13:00,40.445912606273815,-104.63801663280567,1500,0.6,1.7858454706500286,1.9178332559032398,6.0,0.5,57600,gfs,1,0.1,1.22,20439.5,1767919221.9567976,38.954557893361006,-100.61030937054143,27810.376391495796,38.87858136487593,-100.23667841806018,1499.853186008218,415044.665314166
14,2025-10-18 13:00,40.44616966054866,-104.63741231327585,1500,0.6,1.8234293226762812,1.9188770466358998,6.0,0.5,57600,gfs,1,0.1,1.22,0.0,0.0,40.44616966054866,-104.63741231327585,1500.0,40.44616966054866,-104.63741231327585,1500.0,0.0
15,2025-10-18 13:00,40.4460611285182,-104.63836898605918,1500,0.6,1.8014880902910142,1.9713989376758998,6.0,0.5,57600,gfs,1,0.1,1.22,12912.0,1767919229.761016,39.55844146361438,-102.16891030010731,27675.27677796804,39.43824577007888,-101.76158943908835,1498.0039971277427,269623.79623838485
16,2025-10-18 13:00,40.44583600699046,-104.63801550690123,1500,0.6,1.810205869380967,1.9382941701964562,6.0,0.5,57600,gfs,1,0.1,1.22,21792.5,1767919249.5703537,38.892294952246885,-100.37151108908064,27757.348059686217,38.80627460830199,-100.00868536960259,1499.4076590319653,436308.35099246766
17,2025-10-18 13:00,40.44592404018107,-104.63737863400159,1500,0.6,1.8010913383074934,2.0768022516937905,6.0,0.5,57600,gfs,1,0.1,1.22,6469.5,1767919252.6426709,40.13844593680765,-103.54550231595925,27416.411023544657,39.98753848817176,-103.15327886873463,1497.1462352994238,135929.42448829845
18,2025-10-18 13:00,40.445760447725526,-104.63784055658226,1500,0.6,1.7922093752400603,1.8909705537504045,6.0,0.5,57600,gfs,1,0.1,1.22,0.0,0.0,40.445760447725526,-104.63784055658226,1500.0,40.445760447725526,-104.63784055658226,1500.0,0.0
19,2025-10-18 13:00,40.4465338403946,-104.63771128948082,1500,0.6,1.8069222341043902,1.9945730974816864,6.0,0.5,57600,gfs,1,0.1,1.22,11056.0,1767919258.6438901,39.744211477344436,-102.60695819851638,27617.437773588354,39.620572244999856,-102.18995187695295,1499.9183401158068,227727.58949931918
20,2025-10-18 13:00,40.44655454612222,-104.63796663244385,1500,0.6,1.816579599982143,2.089327099082282,6.0,0.5,57600,gfs,1,0.1,1.22,6520.5,1767919261.8573532,40.13539010113667,-103.53649698427233,27385.85368948047,39.984360870501625,-103.14559093614778,1497.7628104540768,136741.85916589608
21,2025-10-18 13:00,40.446373649531,-104.63775703968001,1500,0.6,1.7619603829826884,1.9463365982113072,6.0,0.5,57600,gfs,1,0.1,1.22,11189.0,1767919268.06736,39.73891378714824,-102.58436938633268,27737.750125409544,39.614642995372265,-102.16181493032823,1497.3282278461033,230190.53365443184
22,2025-10-18 13:00,40.44564105034982,-104.63847469647943,1500,0.6,1.7907393739946256,1.9240735005409848,6.0,0.5,57600,gfs,1,0.1,1.22,20175.5,1767919284.4973757,38.96944808534906,-100.64249043201832,27794.01529836513,38.89661179106117,-100.27195037682998,1496.9037531201172,411444.11449733336
23,2025-10-18 13:00,40.446131461940254,-104.63788607914198,1500,0.6,1.7947420925207762,2.0020373059826673,6.0,0.5,57600,gfs,1,0.1,1.22,9717.5,1767919289.222761,39.8661111795244,-102.8958933786128,27598.105841861197,39.72929851837596,-102.48978063861291,1498.81011245357,199360.60396148477
24,2025-10-18 13:00,40.44673176171876,-104.63690921586989,1500,0.6,1.8687350790689532,2.0971318924697457,6.0,0.5,57600,gfs,1,0.1,1.22,8700.5,1767919293.5906398,39.952977952869425,-103.110320835882,27368.46039959891,39.811978875742966,-102.72134767590741,1496.7569574002782,177490.09705792295
25,2025-10-18 13:00,40.44600976171762,-104.63852000462924,1500,0.6,1.75629756764495,2.141254654765129,6.0,0.5,57600,gfs,1,0.1,1.22,5205.0,1767919296.0209258,40.20169501027024,-103.73766412850291,27265.197050358343,40.05479915200655,-103.34720846040575,1497.4859031186731,117906.21966087268
